vid,uid,s_min,s_sec,a_obj,split,label
_-apT0tfo6U,_-apT0tfo6U_60000_70000,1,0,girl_guitar,train,v2
_-apT0tfo6U,_-apT0tfo6U_140000_150000,2,20,girl_guitar,train,v2
_0je75Y8CmU,_0je75Y8CmU_30000_40000,0,30,girl_guitar,train,v2
_0je75Y8CmU,_0je75Y8CmU_60000_70000,1,0,girl_guitar,train,v2
_9dH157OzIo,_9dH157OzIo_40000_50000,0,40,girl_guitar,train,v2
_9dH157OzIo,_9dH157OzIo_90000_100000,1,30,girl_guitar,train,v2
_fvpYLXtQHQ_0,_fvpYLXtQHQ_0,0,0,guitar_tabla,train,v1m
_fvpYLXtQHQ_1,_fvpYLXtQHQ_1,0,0,guitar_violin,test,v1m
_H9b1a0iElI,_H9b1a0iElI_15000_25000,0,15,piano_cello,train,v2
_H9b1a0iElI,_H9b1a0iElI_103000_113000,1,43,piano_cello,train,v2
_nczZHex78s,_nczZHex78s_1000_11000,0,1,accordion_saxophone_trombone_tuba,train,v2
_qzG1KvH8ww,_qzG1KvH8ww_20000_30000,0,20,woman_piano,train,v2
_qzG1KvH8ww,_qzG1KvH8ww_150000_160000,2,30,woman_piano,train,v2
_RNEF3u-da0,_RNEF3u-da0_90000_100000,1,30,cello_marimba,train,v2
_s7SvgokgME,_s7SvgokgME_20000_30000,0,20,girl_guitar,train,v2
_s7SvgokgME,_s7SvgokgME_45000_55000,0,45,girl_guitar,train,v2
_vTuIrVEyC8,_vTuIrVEyC8_60000_70000,1,0,woman_man,test,v2
_VydVhney8w,_VydVhney8w_110000_120000,1,50,piano_guitar,train,v2
_VydVhney8w,_VydVhney8w_740000_750000,12,20,piano_guitar,train,v2
--iSerV5DbY,--iSerV5DbY_68000_78000,1,8,man_hair-dryer,train,v2
--iSerV5DbY,--iSerV5DbY_119000_129000,1,59,man_hair-dryer,train,v2
--kpfdHrlxI,--kpfdHrlxI_56000_66000,0,56,piano_bassoon,train,v2
-1IQfWwrPbc,-1IQfWwrPbc_243000_253000,4,3,frying-food_man,train,v2
-3ABOVeVmpU,-3ABOVeVmpU_136000_146000,2,16,woman_piano,train,v2
-8ZG1rJYPXs,-8ZG1rJYPXs_210000_220000,3,30,piano_cello,train,v2
-9-Jylm9GiA,-9-Jylm9GiA_470000_480000,7,50,woman_horse,train,v2
-9-Jylm9GiA,-9-Jylm9GiA_525000_535000,8,45,girl_horse,train,v2
